"","ObservationMonth","treatment","sensortype","sd","mean","median","IQR","n","se","ci"
"1","2018-08-August","ambient","OrionStarA112",NA,NA,NA,NA,8,NA,NA
"2","2018-08-August","ambient_juvenileDGN","OceanOptics1.6.7",0.0398710440061721,7.68251991133333,7.701984753,0.0361322584999995,3,0.0230195579898349,0.0451183336600764
"3","2018-08-August","ambient_juvenileDGN","OrionStarA112",NA,NA,NA,NA,3,NA,NA
"4","2018-08-August","ambient_juvenileDGN","UDA2182durfet",0.170246669780729,7.64875,7.705,0.0199999999999996,8,0.0601912873381901,0.117974923182853
"5","2018-08-August","highCO2_juvenileDGN","OceanOptics1.6.7",0.0356606311230915,7.23263379133333,7.252498061,0.0312368164999999,3,0.0205886749783888,0.0403538029576421
"6","2018-08-August","highCO2_juvenileDGN","OrionStarA112",NA,NA,NA,NA,3,NA,NA
"7","2018-08-August","highCO2_juvenileDGN","UDA2182durfet",0.0107308673997732,7.20666666666667,7.21,0.00999999999999979,12,0.00309773459094861,0.00607155979825927
"8","2018-08-August",NA,"UDA2182",NA,NA,NA,NA,20,NA,NA
"9","2018-09-September","ambient_juvenileDGN","OceanOptics1.6.7",0.0816061390723516,7.65323527533333,7.650163581,0.0792831420000004,9,0.0272020463574505,0.0533160108606031
"10","2018-09-September","ambient_juvenileDGN","OrionStarA112",NA,NA,NA,NA,9,NA,NA
"11","2018-09-September","ambient_juvenileDGN","UDA2182durfet",0.0468108083469392,7.72078947368421,7.72,0.0499999999999998,38,0.00759371585432024,0.0148836830744677
"12","2018-09-September","highCO2_juvenileDGN","OceanOptics1.6.7",0.0914257067534733,7.14414359244444,7.178058754,0.140071628,9,0.0304752355844911,0.0597314617456026
"13","2018-09-September","highCO2_juvenileDGN","OrionStarA112",NA,NA,NA,NA,9,NA,NA
"14","2018-09-September","highCO2_juvenileDGN","UDA2182durfet",0.0288560384089581,7.21186440677966,7.21,0.0199999999999996,59,0.00375673621568308,0.00736320298273884
"15","2018-09-September",NA,"UDA2182",NA,NA,NA,NA,99,NA,NA
"16","2018-10-October","ambient_juvenileDGN","OceanOptics1.6.7",0.020964284226759,7.69831666844444,7.692611386,0.0297435142499998,18,0.00494132917982116,0.00968500519244948
"17","2018-10-October","ambient_juvenileDGN","OrionStarA112",NA,NA,NA,NA,18,NA,NA
"18","2018-10-October","ambient_juvenileDGN","UDA2182durfet",0.0823527339504624,7.73816326530612,7.73,0.0899999999999999,49,0.0117646762786375,0.0230587655061295
"19","2018-10-October","highCO2_juvenileDGN","OceanOptics1.6.7",0.0635304211083424,7.16394859138889,7.1772628215,0.0812049652499995,18,0.0149742638591153,0.029349557163866
"20","2018-10-October","highCO2_juvenileDGN","OrionStarA112",NA,NA,NA,NA,18,NA,NA
"21","2018-10-October","highCO2_juvenileDGN","UDA2182durfet",0.0483144918575864,7.2079012345679,7.21,0.0199999999999996,81,0.00536827687306516,0.0105218226712077
"22","2018-10-October",NA,"UDA2182",NA,NA,NA,NA,129,NA,NA
"23","2018-11-November","ambient","20449374",NA,NA,NA,NA,641,NA,NA
"24","2018-11-November","ambient","SENSOREXtorodial",NA,NA,NA,NA,11,NA,NA
"25","2018-11-November","ambient_juvenileDGN","OceanOptics1.6.7",0.350275772621632,7.525731536625,7.697728813,0.19313458075,24,0.0714997426818451,0.140139495656416
"26","2018-11-November","ambient_juvenileDGN","OrionStarA112",NA,NA,NA,NA,24,NA,NA
"27","2018-11-November","ambient_juvenileDGN","UDA2182durfet",0.138179040716917,7.8062962962963,7.78,0.0200000000000005,27,0.0265925687847587,0.0521214348181271
"28","2018-11-November","highCO2_juvenileDGN","OceanOptics1.6.7",0.0931869266832742,7.1703208745,7.163724935,0.1262645635,24,0.019021701756014,0.0372825354417875
"29","2018-11-November","highCO2_juvenileDGN","OrionStarA112",NA,NA,NA,NA,24,NA,NA
"30","2018-11-November","highCO2_juvenileDGN","UDA2182durfet",0.0699756153712617,7.2175641025641,7.21,0.0300000000000002,78,0.00792317822350151,0.015529429318063
"31","2018-11-November",NA,"UDA2182",NA,NA,NA,NA,104,NA,NA
"32","2018-12-December","ambient","20449374",NA,NA,NA,NA,4464,NA,NA
"33","2018-12-December","ambient","SENSOREXtorodial",NA,NA,NA,NA,24,NA,NA
"34","2018-12-December","ambient_juvenileDGN","OceanOptics1.6.7",0.196131252906792,7.66196587177778,7.702969614,0.0303587257499993,18,0.0462285796443354,0.0906080161028975
"35","2018-12-December","ambient_juvenileDGN","OrionStarA112",NA,NA,NA,NA,18,NA,NA
"36","2018-12-December","ambient_juvenileDGN","UDA2182durfet",0.101992465673633,7.79103448275862,7.77,0.04,29,0.0189395254047766,0.0371214697933622
"37","2018-12-December","highCO2_juvenileDGN","OceanOptics1.6.7",0.154384247641665,7.22431934316667,7.1884139125,0.0795114314999994,18,0.0363887161386015,0.071321883631659
"38","2018-12-December","highCO2_juvenileDGN","OrionStarA112",NA,NA,NA,NA,18,NA,NA
"39","2018-12-December","highCO2_juvenileDGN","UDA2182durfet",0.0385960961048932,7.20083333333333,7.2,0.04,84,0.0042111793316777,0.00825391149008829
"40","2018-12-December",NA,"UDA2182",NA,NA,NA,NA,112,NA,NA
"41","2019-01-January","ambient","20449374",NA,NA,NA,NA,4464,NA,NA
"42","2019-01-January","ambient","SENSOREXtorodial",NA,NA,NA,NA,30,NA,NA
"43","2019-01-January","ambient_juvenileDGN","UDA2182durfet",0.012954385047312,7.80333333333333,7.81,0.0199999999999996,30,0.00236513630300681,0.00463566715389335
"44","2019-01-January","highCO2_juvenileDGN","UDA2182durfet",0.0325679928350424,7.19333333333333,7.21,0.0499999999999998,90,0.00343296787262594,0.00672861703034685
"45","2019-01-January",NA,"UDA2182",NA,NA,NA,NA,120,NA,NA
"46","2019-02-February","ambient","20449374",NA,NA,NA,NA,4032,NA,NA
"47","2019-02-February","ambient","SENSOREXtorodial",NA,NA,NA,NA,24,NA,NA
"48","2019-02-February","ambient_juvenileDGN","OceanOptics1.6.7",0.0184376390184794,7.75430338404167,7.749910381,0.028116883750001,24,0.00376356730474201,0.00737659191729434
"49","2019-02-February","ambient_juvenileDGN","OrionStarA112",NA,NA,NA,NA,24,NA,NA
"50","2019-02-February","ambient_juvenileDGN","UDA2182durfet",0.0118871505343412,7.8225,7.82,0.0125000000000002,24,0.00242645444206569,0.00475585070644875
"51","2019-02-February","highCO2_juvenileDGN","OceanOptics1.6.7",0.077732268000107,7.18347326720833,7.177970136,0.1000176125,24,0.0158670327624613,0.0310993842144241
"52","2019-02-February","highCO2_juvenileDGN","OrionStarA112",NA,NA,NA,NA,24,NA,NA
"53","2019-02-February","highCO2_juvenileDGN","UDA2182durfet",0.118653685922935,7.22541666666667,7.21,0.0299999999999994,72,0.0139834709881477,0.0274076031367695
"54","2019-02-February",NA,"UDA2182",NA,NA,NA,NA,96,NA,NA
"55","2019-03-March","ambient","20449374",NA,NA,NA,NA,3506,NA,NA
"56","2019-03-March","ambient","SENSOREXtorodial",NA,NA,NA,NA,29,NA,NA
"57","2019-03-March","ambient_juvenileDGN","OceanOptics1.6.7",0.0387665949015743,7.78264051438889,7.7830137725,0.0538076309999997,18,0.00913737404613834,0.0179092531304312
"58","2019-03-March","ambient_juvenileDGN","OrionStarA112",NA,NA,NA,NA,18,NA,NA
"59","2019-03-March","ambient_juvenileDGN","UDA2182durfet",0.0678977063100625,7.86379310344828,7.87,0.0800000000000001,29,0.0126082875346932,0.0247122435679987
"60","2019-03-March","highCO2_juvenileDGN","OceanOptics1.6.7",0.112274772439684,7.12637028011111,7.1275113915,0.110586951499999,18,0.0264634176494257,0.0518682985928743
"61","2019-03-March","highCO2_juvenileDGN","OrionStarA112",NA,NA,NA,NA,18,NA,NA
"62","2019-03-March","highCO2_juvenileDGN","UDA2182durfet",0.0603484934159767,7.17896551724138,7.19,0.0599999999999996,87,0.00647003762498448,0.0126812737449696
"63","2019-03-March",NA,"UDA2182",NA,NA,NA,NA,116,NA,NA
"64","2019-04-April","ambient","20449374",NA,NA,NA,NA,4033,NA,NA
"65","2019-04-April","ambient","SENSOREXtorodial",NA,NA,NA,NA,26,NA,NA
"66","2019-04-April","ambient_juvenileDGN","OceanOptics1.6.7",0.0530375960419023,7.79019127195652,7.813940127,0.0646180484999999,23,0.0110591032616731,0.0216758423928793
"67","2019-04-April","ambient_juvenileDGN","OrionStarA112",NA,NA,NA,NA,23,NA,NA
"68","2019-04-April","ambient_juvenileDGN","UDA2182durfet",0.173668118503701,7.98615384615385,7.965,0.0499999999999998,26,0.0340591201976659,0.0667558755874252
"69","2019-04-April","highCO2_juvenileDGN","OceanOptics1.6.7",0.0720612127865028,7.14482452341667,7.1330060805,0.0757590157499992,24,0.0147094334644212,0.0288304895902656
"70","2019-04-April","highCO2_juvenileDGN","OrionStarA112",NA,NA,NA,NA,24,NA,NA
"71","2019-04-April","highCO2_juvenileDGN","UDA2182durfet",0.0694831305275276,7.1948717948718,7.2,0.0700000000000003,78,0.00786741529567908,0.015420133979531
"72","2019-04-April",NA,"UDA2182",NA,NA,NA,NA,104,NA,NA
"73","2019-05-May","ambient","20449374",NA,NA,NA,NA,3531,NA,NA
"74","2019-05-May","ambient","SENSOREXtorodial",NA,NA,NA,NA,27,NA,NA
"75","2019-05-May","ambient_juvenileDGN","OceanOptics1.6.7",0.054966594084904,7.81207466740741,7.818505627,0.0166654855000008,27,0.0105783259637854,0.0207335188890194
"76","2019-05-May","ambient_juvenileDGN","OrionStarA112",NA,NA,NA,NA,27,NA,NA
"77","2019-05-May","ambient_juvenileDGN","UDA2182durfet",0.151049965091102,8.02666666666667,8,0.0399999999999991,30,0.0275778243969214,0.054052535817966
"78","2019-05-May","highCO2_juvenileDGN","OceanOptics1.6.7",0.104360739634214,7.153724822,7.150813972,0.0747690782499992,26,0.0204668249172244,0.0401149768377598
"79","2019-05-May","highCO2_juvenileDGN","OrionStarA112",NA,NA,NA,NA,26,NA,NA
"80","2019-05-May","highCO2_juvenileDGN","UDA2182durfet",0.0900673211940167,7.18588888888889,7.18,0.0599999999999996,90,0.00949392925743496,0.0186081013445725
"81","2019-05-May",NA,"UDA2182",NA,NA,NA,NA,120,NA,NA
"82","2019-06-June","ambient","20449374",NA,NA,NA,NA,507,NA,NA
"83","2019-06-June","ambient","SENSOREXtorodial",NA,NA,NA,NA,44,NA,NA
"84","2019-06-June","ambient_chumhouse","OrionStarA112",NA,NA,NA,NA,36,NA,NA
"85","2019-06-June","ambient_juvenileDGN","OceanOptics1.6.7",0.0183873909975189,7.84742646164706,7.851396879,0.0205897069999992,17,0.00445959736837069,0.00874081084200655
"86","2019-06-June","ambient_juvenileDGN","OrionStarA112",NA,NA,NA,NA,17,NA,NA
"87","2019-06-June","ambient_juvenileDGN","UDA2182durfet",0.172269064067762,8.00375,8.035,0.0600000000000005,24,0.0351642754527367,0.0689219798873639
"88","2019-06-June","highCO2_juvenileDGN","OceanOptics1.6.7",0.169074080460004,7.23000877389474,7.168038998,0.115894967499999,19,0.0387882542472222,0.0760249783245556
"89","2019-06-June","highCO2_juvenileDGN","OrionStarA112",NA,NA,NA,NA,19,NA,NA
"90","2019-06-June","highCO2_juvenileDGN","UDA2182durfet",0.0649363176667162,7.20208333333333,7.21,0.0425000000000004,72,0.00765281842790314,0.0149995241186902
"91","2019-06-June",NA,"OrionStarA112",NA,NA,NA,NA,44,NA,NA
"92","2019-06-June",NA,"UDA2182",NA,NA,NA,NA,96,NA,NA
"93","2019-07-July","ambient","SENSOREXtorodial",NA,NA,NA,NA,22,NA,NA
"94","2019-07-July","ambient_chumhouse","OrionStarA112",NA,NA,NA,NA,18,NA,NA
"95","2019-07-July","ambient_juvenileDGN","OceanOptics1.6.7",0.0112875155795718,7.8063273665,7.807425614,0.00897418125000016,6,0.0046081089389444,0.00903189352033102
"96","2019-07-July","ambient_juvenileDGN","OrionStarA112",NA,NA,NA,NA,6,NA,NA
"97","2019-07-July","ambient_juvenileDGN","UDA2182durfet",0.205561078861873,7.91625,8.02,0.1425,8,0.0726768164056265,0.142446560155028
"98","2019-07-July","highCO2_juvenileDGN","OceanOptics1.6.7",0.15938720241693,7.2036123392,7.175529422,0.240325788,5,0.0712801238695548,0.139709042784327
"99","2019-07-July","highCO2_juvenileDGN","OrionStarA112",NA,NA,NA,NA,5,NA,NA
"100","2019-07-July","highCO2_juvenileDGN","UDA2182durfet",0.178445379943523,7.22083333333333,7.2,0.0350000000000001,24,0.036425010651559,0.0713930208770555
"101","2019-07-July",NA,"OrionStarA112",NA,NA,NA,NA,34,NA,NA
"102","2019-07-July",NA,"UDA2182",NA,NA,NA,NA,32,NA,NA
