"","ObservationMonth","UDA2182","20449374","OrionStarA112"
"1","2018-08-August","12.52 (12.47-12.57)",NA,NA
"2","2018-09-September","13.01 (12.66-13.37)",NA,NA
"3","2018-10-October","12.36 (12.32-12.39)",NA,NA
"4","2018-11-November","11.53 (11.46-11.6)","11.38 (11.37-11.39)",NA
"5","2018-12-December","10.31 (10.22-10.4)","10.35 (10.34-10.36)",NA
"6","2019-01-January","9.23 (9.2-9.26)","9.3 (9.3-9.31)",NA
"7","2019-02-February","8.55 (8.48-8.62)","8.63 (8.63-8.64)",NA
"8","2019-03-March","8.47 (8.41-8.53)","8.65 (8.64-8.66)",NA
"9","2019-04-April","9.21 (9.15-9.27)","9.47 (9.46-9.48)",NA
"10","2019-05-May","10.42 (10.31-10.54)","10.68 (10.67-10.69)",NA
"11","2019-06-June","11.23 (11.16-11.31)","10.9 (10.88-10.92)","11.93 (11.88-11.97)"
"12","2019-07-July","11.96 (11.84-12.08)",NA,"12.21 (12.13-12.29)"
