"","ObservationMonth","sensortype","sd","mean","n","se","ci"
"1","2018-08-August","UDA2182",0.110501250290616,12.52,20,0.0247088307248537,0.0484293082207132
"2","2018-09-September","UDA2182",1.81626447863727,13.0143434343434,99,0.182541448354251,0.357781238774333
"3","2018-10-October","UDA2182",0.211749129392424,12.3550387596899,129,0.0186434712887222,0.0365412037258955
"4","2018-11-November","20449374",0.119686195910053,11.379391575663,641,0.00472732051684518,0.00926554821301655
"5","2018-11-November","UDA2182",0.361346539878275,11.5326923076923,104,0.0354329434232415,0.0694485691095532
"6","2018-12-December","20449374",0.396547326405278,10.3477688172043,4464,0.00593516686057751,0.0116329270467319
"7","2018-12-December","UDA2182",0.491101642922138,10.3089285714286,112,0.0464047434152579,0.0909532970939056
"8","2019-01-January","20449374",0.154996715728791,9.30118503584229,4464,0.00231985266180231,0.00454691121713252
"9","2019-01-January","UDA2182",0.171087721369365,9.2325,120,0.0156181007176933,0.0306114774066788
"10","2019-02-February","20449374",0.307645388399893,8.63489583333333,4032,0.00484495946251186,0.00949612054652325
"11","2019-02-February","UDA2182",0.332454983102184,8.55,96,0.0339310446269148,0.066504847468753
"12","2019-03-March","20449374",0.25891022581254,8.65231317741015,3506,0.00437263521062494,0.00857036501282488
"13","2019-03-March","UDA2182",0.321357456258064,8.47155172413793,116,0.0298372907577792,0.0584810898852472
"14","2019-04-April","20449374",0.243848781817796,9.4681775353335,4033,0.00383978121257993,0.00752597117665667
"15","2019-04-April","UDA2182",0.319258324120982,9.21057692307692,104,0.0313058543186503,0.0613594744645546
"16","2019-05-May","20449374",0.384242528530972,10.6796601529312,3531,0.00646631076776439,0.0126739691048182
"17","2019-05-May","UDA2182",0.645605159837624,10.4241666666667,120,0.0589354182141325,0.1155134196997
"18","2019-06-June","20449374",0.246822292519921,10.900315581854,507,0.0109617628483367,0.0214850551827399
"19","2019-06-June","OrionStarA112",0.249258943955175,11.9295454545455,116,0.0231431119457055,0.0453604994135828
"20","2019-06-June","UDA2182",0.380158554179423,11.23125,96,0.0387997699622408,0.0760475491259921
"21","2019-07-July","OrionStarA112",0.331541529972124,12.2088235294118,63,0.0417703065521956,0.0818698008423033
"22","2019-07-July","UDA2182",0.340540367556453,11.9625,32,0.0601996007917317,0.117991217551794
